SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10)
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1S(=O)(=O)C(F)(F)F)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(Cc2ccccc2-c2cccc(Cl)c2)CC1,ippidb,8.4385,6,5,16,7,928.569,7.31
CSCC[C@H]1NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O)C(=O)O,timbal,-3.8454,9,9,10,1,620.711,7.55284196865778
CC1CC(C)CN(C1)C2CC(N(C2)S(=O)(=O)c3cccc(c3)C#N)C(=O)NC(Cc4ccc(NC(=O)c5c(Cl)cncc5Cl)cc4)C(=O)O,timbal,4.43398,7,4,10,5,727.671,9.85387196432176
Cc1cc(Cl)cc([C@@H](CC(=O)O)NC(=O)CNC(=O)c2cc(O)cc(NC3=NCC(O)CN3)c2)c1O,timbal,0.85362,7,8,8,3,519.942,6.16241156176449
NC(=N)NCCC[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)C(=O)O,timbal,-4.42303,10,12,9,2,626.653,8.52287874528034
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N(Cc2ccccc2)[C@@H](CC(C)C)C1=O,ippidb,4.1727,3,3,8,4,485.628,5.55
CCOc1cccc(c1)S(=O)(=O)Nc2ccc(cc2)N3CCN(CC3)c4cccc(c4)c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5c7ccc(Cl)cc7,timbal,7.21432,4,4,14,7,824.492,5.78941397509484
OCC1(COC2(N(Cc3ccc(cc3)[N+](=O)[O-])C(=O)c4ccccc24)c5ccc(Cl)cc5)CC1,timbal,4.8944,3,2,8,5,478.932,6.63827216398241
COC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(cc1C)C(=O)N(c1ccccc1)c1ccccc1,ippidb,6.37272,4,1,7,6,556.666,6.8
NCCCCC(CN(C(CCC(=O)O)CN(CCC(=O)N)C(=O)NCCCc1ccc(Br)cc1)C(=O)NCCc2ccc(Br)cc2)N(CC(CCC(=O)O)NC(=O)N)C(=O)NCCCc3ccc(Br)cc3,timbal,6.3251,9,12,33,3,1181.864,5.08618614761628
OC(=O)[C@@H](N1[C@@H](c2ccc(Cl)nc2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1,ippidb,4.9545,5,3,4,4,582.181,5.13
OC(=O)CCCCN1c2ccc(I)cc2C(=O)N([C@@H](C(O)=O)c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)C1=O,ippidb,6.2089,6,3,9,4,681.31,6.29
CC(C)(C)c1ccc(cc1)c2c(NCCc3ccccc3)n4c(Cl)cccc4c2C#N,timbal,7.08348,0,1,5,4,427.979,4.85387196432176
OC(=O)CC(NC(=O)C1CCCN(C1)C(=O)CCC2CCNCC2)c3cncc(c3)c4ccsc4,timbal,3.4605,5,4,9,4,498.649,8.69897000433602
FC(F)(F)c1c(Sc2cccc(NC3CCCC3)c2)ccc(\C=C\C(=O)N2CCOCC2)c1C(F)(F)F,ippidb,7.1019,2,2,6,4,544.561,7.35
Cn1ncc2c1nc(-c1cccc(c1)C(F)(F)F)c1c2[nH]n(-c2ccc(Cl)c(c2)C(O)=O)c1=O,ippidb,4.6379,5,3,3,5,487.825,8.15
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(C)=O)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,ippidb,2.02,4,5,9,4,533.673,6.53
CC(C)C[C@@H]1N([C@H](C)CCN([C@@H](Cc2ccc3ccccc3c2)C(N)=O)C1=O)C(=O)Cc1ccccc1,ippidb,4.343,3,3,8,4,499.655,6.12
Cc1ccccc1NC(=O)Nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COc4ccc(cc4)C(=O)O)cc2C,timbal,5.20614,6,4,8,4,519.573,8.63827216398241
