SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10)
FC(F)(F)c1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,timbal,5.3234,3,2,5,3,387.361,6.5185573714977
C[C@H](N1C(=O)c2ccccc2C1(OCC3(CO)CC3)c4ccc(Cl)cc4)c5ccc(Cl)cc5,timbal,6.2006,3,2,7,5,482.407,5.05060999335509
CC(=O)c1cc(-c2ccccn2)c2ccccn12,ippidb,3.2039,2,0,2,3,236.274,5.7
FC(F)(F)c1cc(Cl)nc(n1)c2ccc(NC(=O)CCl)cn2,timbal,3.3881,4,1,3,2,351.115,5.85387196432176
C[C@@H]1NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H]2CCCCN2C1=O)C(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)C,timbal,-0.2256,8,7,6,3,609.727,7.69897000433602
C[C@@H]1NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](NC1=O)c2ccccc2)C(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)C,timbal,0.2508,8,7,7,3,631.733,4.48148606012211
OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)\N=C/3\C(\C(=C3O)O)=N\CC=C,timbal,2.6108,6,4,8,3,489.315,6.92081875395238
COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3c4cncc5ccccc45)C(=O)O)cc2,timbal,4.6999,6,2,9,5,525.605,7.34678748622466
OC(=O)CC(Cc1onc(CCCc2ccc3CCCNc3n2)n1)c4cnc5ccccc5c4,timbal,4.3472,6,2,9,5,457.534,7.74472749489669
CC(C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O,timbal,-2.30793,7,9,9,2,574.639,8.0
COc1ccc(cn1)C(CC(=O)O)Cc2onc(OCCc3ccc4CCCNc4n3)c2,timbal,3.2538,7,2,10,4,438.484,9.04575749056068
COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@@H]3CCCN3c4cc(cc(n4)[N+](=O)[O-])[N+](=O)[O-])C(=O)O)cc2,timbal,3.3631,6,2,11,4,565.539,9.42021640338319
CN1[C@@H]([C@@H](O[C@@H](Cc2ccccc2)C1=O)c1ccc(Br)cc1)c1ccc(Br)cc1,ippidb,6.0939,2,1,4,4,515.245,6.0
COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@]3(CCCO3)c4cccc(c4)[N+](=O)[O-])C(=O)O)cc2,timbal,4.0968,6,2,10,4,520.538,7.70774392864352
CN1C(=O)N(C(=O)[C@]11CN(C[C@H]1c1ccc(cc1)C#N)c1ccc(nn1)C(O)=O)c1cc(Cl)cc(Cl)c1,ippidb,3.79448,6,2,4,5,537.363,7.89
